sku,nombre,unidad_medida,precio,descripcion,imagen_url,stock_actual
30493,Servilleta Plus Blanca 100 Hojas – Tork,100 HOJAS,3.20,"Su empaque y dispensador mantienen las servilletas cubiertas y gracias al sistema de dispensado una a una, el usuario solo tiene contacto con la servilleta que va a usar, conservando la higiene. Menor consumo de servilletas, gracias a su sistema de dispensado y a la calidad del producto que brinda excelente absorción y resistencia. Ideal para restaurantes con servicio a la mesa que buscan brindar bienestar a sus usuarios ofreciendo las servilletas en cada mesa. Sus dispensadores de colores Plus 100 brindan estilo, ayudando a exaltar la buena imagen del lugar.",https://daryza.com/wp-content/uploads/2024/06/30493.jpg,1119
33104,Lejía 5% Daryza x 3.8 L,3.8 L,11.50,"Lejía Daryza Biodegradable con una concentración de hipoclorito al 5%. Por su alta concentración y gran estabilidad, garantiza una superior efectividad en la desinfección de superficies. Producto de naturaleza germicida de amplio espectro, elimina el 99.9% de gérmenes y bacterias: Escherichia coli, Staphylococcus aureus,Pseudomonas aerugimosa, Salmonella S.P.",https://daryza.com/wp-content/uploads/2020/07/33104.jpg,418
30695,Lavavajilla Líquido Manzana Daryza x 3.8 L,3.8 L,29.90,"Modo de empleo Retirar residuos organicos en platos y menajes Aplicar una pequeña porción sobre una esponja doble uso Incorpore un poco de agua, genere espuma y lave.",https://daryza.com/wp-content/uploads/2021/04/30695-1.jpg,16
8435,Papel Toalla Scott Multihoja X 150 20GR / 30212073 KCP 30212073,20 G,6.90,S/ 6.90,https://daryza.com/wp-content/uploads/2022/07/30212073.jpg,102
10512,4×3 Lejía Biodegradable 5% x Galón Daryza,UND,34.50,"Lejía 5% Daryza Biodegradable con una concentración de hipoclorito al 5%. Por su alta concentración y gran estabilidad, garantiza una superior efectividad en la desinfección de superficies. Producto de naturaleza germicida de amplio espectro, elimina el 99.9% de gérmenes y bacterias: Escherichia coli, Staphylococcus aureus,Pseudomonas aerugimosa, Salmonella S.P.",https://daryza.com/wp-content/uploads/2024/09/920098.png,4234
31984,Jabón Líquido de Manos Caricias Frutales Daryza x 3.8 L,3.8 L,24.90,"INSTRUCCIONES DE USO Verter el producto en un dispensador, humedezca las manos, aplique una dosis del dispensador. Frote las manos mínimo 20 segundos, haciendo movimientos circulares, cubriendo toda la superficie de las manos. Enjuague con agua limpia, séquelas con una toalla.",https://daryza.com/wp-content/uploads/2022/06/31984.jpg,496
33195,Detergente Líquido Multisuperficies Daryza x 3.8 L,3.8 L,27.90,"Detergente líquido concentrado para ser usado en altas diluciones reduciendo notablemente los costos de limpieza. Posee gran capacidad de remoción de mugre y suciedad. La espuma controlada facilita el enjuague, ahorrando agua.",https://daryza.com/wp-content/uploads/2024/06/1125.jpg,40
8340,Repuesto Trapeador de microfibra con hojal verde 45×72,UND,5.70,"Trapero de Microfibra, que no raya las superficies. La microfibra atrapa las partículas de polvo y líquido en una sola pasada. Su uso en seco permite atrapar la suciedad por estática, evitando que el polvo se levante, disperse o arrastre. Fácil de lavar y secar. Super durable y resistente. Absorbe hasta 5 veces su peso.",https://daryza.com/wp-content/uploads/2021/06/8340.jpg,432
8228,Paño microfibra Azul 40×38,UND,2.80,"Gran poder de absorción, ideal para desempolvar, limpiar y sacar brillo a todo tipo de superficies sin dejar pelusas. No mancha ni raya.",https://daryza.com/wp-content/uploads/2021/05/8228.jpg,443
10500,3×2 Desinfectante Antibacterial Lavanda Daryza x Galón,UND,33.00,"Desinfectante concentrado biodegradable con aroma a lavanda. Limpia, desinfecta y perfuma en un solo paso. N° Autorización Sanitario : 7599-2021/DCEA/DIGESA/SA",https://daryza.com/wp-content/uploads/2022/09/10500.jpg,314
